name,type,benefits,target,frequency,compatible,incompatible
Polyhydroxy Acid (PHA),Exfoliant.,"Repairs skin, exfoliates away dead skin, reduces the appearance of skin damage.","PHAs are usually safe for all skin types, but especially for those with oily or acne-prone skin.","To start, try using PHAs three times a week. You can use it in the form of a toner, a face wash, or even a serum.",Other acids in low concentrations.,"Other acids in very high concentrations, retinoids if you're particularly sensitive."
Phenoxyethanol,Preservative,"Prevents the growth of bacteria, enhances shelf life, and stabilizes products.","In general, anyone without an allergy. Phenoxyethanol is not recommended for those with sensitive skin or eczema.",Daily.,Other preservatives.,"Phenoxyethanol works well with most, if not all, ingredients."
Phytosphingosine,Moisturizer,"Skin barrier support, anti-inflammatory, anti-bacterial",Almost anyone can benefit,Daily,"Ceramides, peptides",
Polypeptides,Protein,"Smoothes fine lines, increases collagen production, decreases the appearance of pores.﻿﻿","Generally, polypeptides are safe for all skin types.","For maximum effectiveness, polypeptides should be applied during both morning and nighttime skincare routines.",Getting a facial peel before applying peptide products will help peptides penetrate the skin more deeply.﻿﻿,AHAs will reduce the efficiency of peptides.
Pomegranate,Antioxidant,"Helps skin regenerate, detoxes the skin, protects against UV radiation","In general, people with oily or congested skin will find pomegranate the most beneficial",Once a day,Ceramides,Works with everything
Prickly Pear Oil,Hydrator,"Anti-inflammatory, barrier-boosting, hydrating","In general, anyone with sensitive skin in need of hydration, or with hyperpigmentation issues.",Twice a day.,"Retinols or Vitamin C, which might otherwise irritate the face.",
Propanediol,"Solvent, humectant, and emollient.","Dissolves ingredients, decreases viscosity, and retains moisture.","Generally, anyone looking for an alternative to propylene glycol in their skincare.","Propanediol is a safe ingredient to use regularly, provided that you do not have a sensitivity to it.","Because of its wide range of uses, propanediol does not function especially well with any ingredient in particular.","According to dermatologists, ropanediol works well with most, if not all, ingredients."
Propylene Glycol,"Humectant, solvent, emollient, and preservative.",Attracts water and locks it into the skin.,"In general, anyone who is looking for extra hydration and smoothness of the skin.","Propylene glycol is a safe ingredient to use regularly, provided that you do not have an allergy to it.","Because it has so many functions, there isn’t a specific list of ingredients that it works well with.","Propylene glycol works well with most, if not all, ingredients.﻿﻿"
Pycnogenol,Antioxidant,"Prevents wrinkles, increases hydration, reduces age spots","In general, people with concerns about aging.",Once a day,Anti-aging skincare products,Diabetics and people on immunosuppressants like prednisone should avoid it due to negative drug interactions.﻿﻿
Resveratrol,Antioxidant,"Fights aging, protects the skin, and improves the overall appearance of skin.","Green says that, in general, anyone who has sun damage can use resveratrol, regardless of their skin type.","According to Green, it's safe to use on a daily basis as long as you know how your skin responds to the antioxidant.","Most other powerful antioxidants, like ferulic acid.",Neither dermatologist is aware of any ingredient that will deactivate the function of resveratrol.
Retin-A,Exfoliant,"Increases cell turnover, antioxidant.","In general, anyone who wants to prevent bad acne or wrinkles.","Once a day, maximum. Any more and you're risking serious irritation.","Hydrators, antioxidants.","Vitamin C, physical and chemical exfoliants, other retinol formulas."
Retinaldehyde,Exfoliator,"Promotes skin cell turnover, improves skin tone, helps unclog pores, thickens the dermis to slow down the formation of wrinkles.","Anyone looking for the anti-aging effects of a retinoid, especially those who have used and can tolerate retinol or retinyl palmitate, but aren't seeing the results they want. In this case, you can up the ante to retinaldehyde, which can be more potent and effective at jumpstarting your skin cells, says Nussbaum.","While it’s important to ease into things in order to let your skin gradually acclimate to the ingredient, it can ultimately be used daily.","Alpha- and beta-hydroxy acids have commonly been used with retinoids to help further increase skin cell turnover, says Chilukuri (though it's important to make those separate parts of your routine, using one in the AM and one in the PM). Using antioxidants such as vitamin C, vitamin E, and niacinamide can also help improve the skin brightening effects, he adds. However, use these ingredients together with caution, and decrease use if you notice irritation.","Avoid using any retinoid at the same time as products with vitamin C, AHAs, or BHAs, as this can up the likelihood of sensitivity and irritation, says Nussbaum. She recommends using the former in the morning (under SPF, of course) and reserving the retinoid for nighttime use."
Retinol,Exfoliant,"Reduces wrinkles, exfoliates, prevents aging.","In general, people with acne or people who are concerned about the appearance of aging skin. It's not recommended for people with sensitive skin due to its ability to irritate the skin.","Once a day maximum, typically once every few days.","Anything hydrating, to offset the irritation.","Vitamin C; other exfoliants like glycolic acid, and alpha hydroxy acid (AHA); and astringents, as doing so may irritate the skin."
Palmitate,Exfoliator,"Promotes skin cell turnover, improves skin tone, helps unclog pores, helps thicken the dermis to slow down the formation of wrinkles.","Because retinyl palmitate is the least irritating of all four retinoids (more on that in a minute), it's a great option for almost all skin types and anyone who want to keep their pores clear and skin youthful, says Solomon. It does still have to the potential to be somewhat irritating for those with extremely sensitive skin, however.","While it’s important to ease into things in order to let your skin gradually acclimate to the ingredient, it can ultimately be used daily.","According to Lain, ""Retinoids have a synergistic effect with antioxidants such as vitamins C, E, and ferulic acid."" Pairing any retinoid with a sunscreen is also important, since they can make your skin more susceptible to the sun.","Since retinyl palmitate has exfoliating properties, avoid combining it with other chemical exfoliants, such as glycolic or salicylic acid, as well as harsh scrubs with abrasive ingredients, cautions Lain. This holds especially true if you fall into the super sensitive skin camp. It can also cause some dryness, notes Solomon, so it's a good idea to pass on toners and astringents, too."
Rosehip Oil,Oil,"Brightens and evens out the skin, regenerates and heals, helps with anti-aging, elasticity, and collagen production.","In general, rosehip oil is beneficial for all skin types.","It's safe to use twice a day, morning and night.","In general, rosehip oil can be used with most products and ingredients.","Rosehip oil is high in vitamin A, so be mindful when using products with retinoids."
Seaweed,"Antioxidant, exfoliant, hydrator, brightener","Regulates oil production, exfoliates, brightens, and moisturizes dry, dull skin.","Anyone looking for hydrating and exfoliating benefits. Also, those with acne, rosacea, and skin sensitivities will benefit from its healing properties.",Seaweed extract can be used at any time.,"Seaweed extract is compatible with many ingredients, although it can be used alone. These include Vitamin B3, hyaluronic acid, peptides, and botanical extracts.","There are no specific ingredients known to have a negative interaction with seaweed, but Sarfati notes it's always best to work with your skincare professional or esthetician when creating a full skincare program."
Shea Butter,Hydrator,"Hydrating, antioxidant, soothes irritation","In general, anyone with dry skin","As much as you want, if you don't have an allergy.","Other oils, cocoa butter",
Snail mucin,Moisturizer and collagen-stimulator,"Moisturizes skin, promotes collagen production, aids in skin healing and regeneration.","In general, snail mucin can be used on all skin types, though its hydrating properties make it especially choice for those with dry skin, says Levin. And unless you’re actually allergic to the ingredient, it’s generally well-tolerated by most. (Though keep in mind that since it is derived from an animal vegans should take a pass.)","This largely depends on why you're using it—since it does have many benefits—and what type of product it's found in. Generally speaking, you can use snail mucin once or twice per day.","It’s often combined with antioxidants and retinol, as well as common skincare staples such as vitamin C, glycolic acid, and other moisturizing ingredients.","Because research is still limited, it's unknown whether or not it interacts poorly with any other ingredients, says Lain. Right now, there's no evidence that it does."
Sodium Ascorbyl Phosphate,Antioxidant,"Neutralizes skin-damaging free radicals, boosts collagen production, evens skin tone, has antimicrobial benefits.","In general, because this is less potent than other forms of vitamin C, it’s generally safe for all skin types, though some people may experience mild irritation.","Once to twice daily, although it’s always a good idea to start by using it just a few times per week and gradually increasing the frequency in order to ensure your skin can tolerate it, advises Farber.","Other antioxidants, in particular vitamin E and ferulic acid, as well as hydrating ingredients such as hyaluronic acid.","Benzoyl peroxide can oxidize vitamin C, and retinols work best at a different pH, says Farber. If both of these are a part of your regimen, use them at different times of the day."
Sodium Deoxycholate,Solubilizer and detergent,Breaks apart fat.,"In theory, someone who was interested in toning their face might consider trying a product containing sodium deoxycholate. However, the topical benefits are still unclear.","Because a lot of information is still unknown, it's best to follow the manufacturer's instructions for application.","Given all the unknowns, Fu and Lu would recommend that if you do want to test sodium deoxycholate out, a great insurance policy would be to add other classic anti-aging ingredients into the mix, like peptides.","Lu explains that since penetration seems to be key when dealing with sodium deoxycholate, it would be best to be on the lookout for high amounts of penetration enhancers, which are ingredients such as propylene glycol, ethoxydiglycol, and butylene glycol. These ingredients work by helping the active ingredients in a product penetrate through the skin and make them more effective, but Lu points out that this process can be irritating for those with sensitive and dry skin types."
Sodium Hyaluronate,Humectant.,"Improves dryness, Replenishes the skin, and Provides structure and volume.","It is recommended for people of all ages and skin types and is especially beneficial for those with dry, dehydrated skin.","Sodium hyaluronate is safe to use in concentrations of up to 2% twice daily, morning and night.",Moisturizers.,"Generally, sodium hyaluronate is safe to use with most, if not all, ingredients."
Sodium Lauryl Sulfate,Foaming agent.,"Creates a lather, Encourages a deep clean, and Emulsifies.",Those who don't have an allergy or sensitivity to it.,Can be used every day if you only apply it to areas that harbor bacteria and limit the amount of time on your skin.,Moisturizers to counteract the dryness from sodium lauryl sulfate.,"Physical and chemical exfoliants, as doing so may further irritate the skin."
Spironolactone,Medication,"Regulates oil production, blocks androgen receptors, and reduces the length of hormonal breakouts.","In general, women with hormonal acne or women who have been resistant to other acne treatments in the past. It is not recommended for men or for women who are looking to become pregnant.",How much you should use it? Consult a dermatologist.,"Generally, it works well with all topical treatments.",Check for interactions with other medications.
Sulfur,Exfoliant,"Kills bacteria, reduces sebum, and sloughs away dead skin.","Sulfur can be used to treat those with mild-to-moderate acne, rosacea, seborrheic dermatitis, psoriasis, and eczema.","According to Shah, it can be used on a daily basis, and some skin types can tolerate some formulations (such as a wash) even twice a day.","Sodium sulfacetamide. ""There are newer formulations of topical sulfur lotions that are combined with sodium sulfacetamide, creating a more gentle and less stinky product,"" Cheung says.","Cheung says to avoid combining sulfur with other topicals that dry out the skin or exfoliate (such as retinoids, benzoyl peroxide, and salicylic acid) to prevent the skin from becoming too dry or inflamed."
Tamanu Oil,Emollient,"Moisturization, antioxidant production, and an anti-inflammatory effect. It also stimulates collagen production to promote wound healing and has some antibacterial properties, particularly against the bacteria associated with acne, notes Petrillo.","Those with dry skin, as well as those with minor acne and scarring, or people looking for an oil with anti-aging benefits.","This depends on the particular product you're using, but generally it can be used once or twice per day.","According to Gonzalez, it's often combined with other popular skincare oils—rosehip, cranberry seed, avocado—when formulated in serums or lotions.","There are currently no ingredients known to have a negative interaction with tamanu oil. Gonzalez does note that if you're using a pure version of tamanu oil on you're face, there's simply no need to apply other oils as well."
tepezcohuite,Anti-microbial.,"Moisturizes, and could potentially promote burn- and wound-healing.","In general, anyone with dry or irritated skin.",Not enough scientific studies have been conducted to determine appropriate usage.,Aloe and tea tree oil.,"Harsh exfoliators such as glycolic acid, and astringents, as doing so may irritate the skin."
Tranexamic Acid,Acid,"Fades discoloration, brightens skin, reduces the appearance of acne scars.","Generally, tranexamic acid is safe for all skin types. Those with super sensitive skin or eczema should do a test on the inside of the wrist before use, just to be safe.","Ideally, tranexamic acid would be applied twice a day, but some suggest starting with one application per day to see how it reacts with your skin.","Vitamin C, SPF, hyaluronic acid, retinol.","Multiple different acids, stick to only using it with one or two others to avoid dryness."
Triethanolamine,Emulsifier and pH adjuster,"Stabilizes, balances a product's pH, and thickens the formula.","In general, anyone who does not have an allergy to it.","As long as it's delivered from a standard cosmetic product and does not cause irritation, triethanolamine is considered safe to use on a daily basis by both Romanowski and Schultz.","As a pH adjuster, triethanolamine works particularly well with acidic materials, Romanowski adds.","According to reviews by the Cosmetic Ingredient Review Expert Panel, to prevent the formation of possibly carcinogenic nitrosamines, triethanolamine should not be used with N-nitrosating agents in formulations or should not be used in cosmetic products in which N-nitroso compounds can be formed."
,Anti-inflammatory.,"Soothing, detoxifying, exfoliating.","In general, people with inflammation, acne scarring, or puffiness.","At max once a day, lest you start to stain your skin. If you're using kasturi turmeric, as much as you want.","Honey, apple cider vinegar, gram flour, milk, anything else you use in at-home masks.",Lime—the two used together are a common homemade treatment for skin lightening.
Undecylenic Acid,Anti-fungal,Prevents and eliminates topical fungus,"Individuals with diagnosed fungal skin infections can benefit from using an anti-fungal topical treatment containing undecylenic acid, says Rabach.",Most over-the-counter products can be applied twice daily.,"It works well with and is often formulated with zinc. This combination provides a soothing and healing environment for the skin, which can become irritated from a fungal infection, says Greenfield. Rabach adds that combining undecylenic acid with zinc may also help minimize the potentially irritating side effects that the ingredient might cause.","According to Rabach, there's no data showing that it's problematic to use it with any other ingredients."
Urea 40,Keratolytic emollient (tissue softener),"Dissolves the intracellular matrix, which loosens dead, scaly skin. This makes it ideal for treating calluses, dermatitis, psoriasis, eczema, and keratosis pilaris. It also draws moisture into the skin for serious hydration.","Anyone with excessively dry, flaky/scaly skin, or who has one of the above skin conditions.","Generally, you should apply to the affected areas 1 to 3 times a day (or as directed by your physician). Unless the treatment area is on the hands, remember to wash them immediately after using the product so as not to inadvertently treat the skin on the hands.",Products with Urea 40 should be used alone.,
Vitamin B3 (Niacinamide),Brightener,"Brightening, prevents signs of aging, reduces acne","In general, anyone who wants their skin to be bright or prevent aging.",You can use it in both morning and evening,"""When using vitamin B3, it is good to combine it with other stable and powerful antioxidants, such as Camellia Sinensis (Green Tea) Catechins, Quercetin and Tocopherol,"" says Dr. Mun. It also eases irritation related to retinol.","N/A, it works well with everything."
Vitamin C,Antioxidant,"Protects against free radical damage, evens skin tone, and promotes collagen production.",Vitamin C is not recommended for those with extremely sensitive skin and can be problematic for those with oily skin. Herrmann recommends asking your board-certified dermatologist which brand may be best suited for your skin type.,Herrmann recommends using vitamin C daily or every other day.,"Vitamin C works well with complementing antioxidants like, vitamin E and ferulic acid, which will boost the efficacy and stability of the molecule.","According to Herrmann, avoid it using with benzoyl peroxide, which can oxidize the vitamin C and make it useless very quickly. Also avoid using it with other acids, which may cause excessive skin irritation, especially if used daily. And lastly, don't it use with retinol, which can make the vitamin C more unstable and less likely to penetrate the skin.﻿﻿"
Vitamin D,Vitamin,"Calms inflammation, protects the skin, and improves cell turnover.",Someone who is deficient should take a vitamin D supplement. Those looking to fight inflammatory skin diseases can consider a prescription topical.,"According to the National Institutes of Health, the average, non-deficient adult should aim for 600 International Units (IU) per day in their diet. As far as topically, Zeichner says there is no harm in using a vitamin D cream daily.","When treating psoriasis, Gerstner says topical vitamin D is often used in conjunction with a topical steroid. If using topical vitamin D for anti-aging, Herrmann recommends combining it with other antioxidant vitamins, growth factors, or retinoids.","Zeichner says topical vitamin D cannot be combined with hydroxy acids, like glycolic or salicylic acid, because the acidic pH has been shown to inactivate vitamin D."
Vitamin E,Barrier booster.,"Seals in moisture, smooths skin, antioxidant.","In general, anyone with dry skin. Vitamin E is not recommended for sensitive skin.","You should only use Vitamin E once a day maximum, preferably at night, as it is usually too thick to put under makeup.",Vitamin C and Ferulic acid.,Retinol/Vitamin A.﻿﻿
Vitamin F,"Vitamin, fatty acid","Hydrates, replenishes, is high in antioxidants, is anti-inflammatory, restores the skin's barrier.","In general, all skin types would benefit from vitamin F usage, but especially those with acneic skin.","Vitamin F is safe to use twice a day, morning and night.","Hydrators, linoleic acid, anti-aging products, and SPF products.","In general, vitamin F can be used with all ingredients safely."
Volcanic Ash,Antioxidant.,"Clarifying, antibacterial, reduces oxidation.","In general, people with acneic, oily skin.","Try not to use it more than once every few days, as it can be drying.",Hydrating ingredients like hyaluronic acid.,"Not recommended for use with other exfoliants, as it can be stripping."
zinc,Anti-acneic,"Anti-inflammatory, anti-bacterial, regulates oil","In general, people with acneic skin.","You should only take it once a day, 40mg max.","Multivitamins, other sources of zinc that might overload you.﻿﻿",
